"function","flagCount","securityFlags","networkAPICount","riskLevel"
"https://mkg.com/data#getOurIP","9","INITIATES_CONNECTIONS, CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, FILE_IO_CAPABLE, CONTAINS_HARDCODED_IPS, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","6","HIGH"
"https://mkg.com/data#fdpopen","8","CALLS_DANGEROUS_FUNCTIONS, COMMAND_INJECTION_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, SPAWNS_PROCESSES, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","1","HIGH"
"https://mkg.com/data#initConnection","8","CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE, INTEGER_OVERFLOW_RISK","2","HIGH"
"https://mkg.com/data#processCmd","8","CALLS_DANGEROUS_FUNCTIONS, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, SPAWNS_PROCESSES, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE, INTEGER_OVERFLOW_RISK","2","HIGH"
"https://mkg.com/data#getBogos","7","CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","1","HIGH"
"https://mkg.com/data#main","7","CALLS_DANGEROUS_FUNCTIONS, WEAK_RANDOM_RISK, BUFFER_OVERFLOW_RISK, FILE_IO_CAPABLE, HIGH_RISK, FORMAT_STRING_RISK, SPAWNS_PROCESSES","0","HIGH"
"https://mkg.com/data#connectTimeout","5","INITIATES_CONNECTIONS, MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, NETWORK_CAPABLE","4","MEDIUM"
"https://mkg.com/data#fdgets","5","MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, READS_FILES, NETWORK_CAPABLE","1","MEDIUM"
"https://mkg.com/data#fdpclose","5","FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, SPAWNS_PROCESSES, NETWORK_CAPABLE","1","HIGH"
"https://mkg.com/data#getRandomPublicIP","5","MEDIUM_RISK, CALLS_DANGEROUS_FUNCTIONS, WEAK_RANDOM_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","1","MEDIUM"
