"function","flagCount","securityFlags","networkAPICount","riskLevel"
"https://mkg.com/data#killer_init","10","CALLS_DANGEROUS_FUNCTIONS, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, ACCEPTS_CONNECTIONS, SPAWNS_PROCESSES, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE, DELETES_FILES, INTEGER_OVERFLOW_RISK","5","HIGH"
"https://mkg.com/data#attack_app_http","8","INITIATES_CONNECTIONS, CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","11","HIGH"
"https://mkg.com/data#main","8","FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, ACCEPTS_CONNECTIONS, SPAWNS_PROCESSES, NETWORK_CAPABLE, DELETES_FILES, WRITES_FILES","10","HIGH"
"https://mkg.com/data#ensure_single_instance","6","INITIATES_CONNECTIONS, MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, ACCEPTS_CONNECTIONS, NETWORK_CAPABLE","8","MEDIUM"
"https://mkg.com/data#attack_app_cfnull","5","INITIATES_CONNECTIONS, MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, NETWORK_CAPABLE","10","MEDIUM"
"https://mkg.com/data#attack_tcp_stomp","5","INITIATES_CONNECTIONS, MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, NETWORK_CAPABLE","9","MEDIUM"
"https://mkg.com/data#establish_connection","5","INITIATES_CONNECTIONS, MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, NETWORK_CAPABLE","2","MEDIUM"
"https://mkg.com/data#get_dns_resolver","5","MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, READS_FILES, NETWORK_CAPABLE","4","MEDIUM"
"https://mkg.com/data#killer_kill_by_port","5","FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, SPAWNS_PROCESSES, NETWORK_CAPABLE","2","HIGH"
"https://mkg.com/data#memory_scan_match","5","MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, READS_FILES, NETWORK_CAPABLE","2","MEDIUM"
